Date,User,Tweet
2022-06-14 00:04:58+00:00,genericgranola,"Explainable Data Generators: A solution to overfitting in deep learning https://t.co/ESCIKEsxas #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/znviOlmGoe"
2022-06-13 18:31:26+00:00,JadonDragoUSA,@derkvondirk @ConceptualJames Hey AI. I know about machine learning and deep learning. Why not go download AI Dungeon in the app store and let me know how much AI can't have a full blown intelligent conversation as though you're talking to a real person. Paying for the Dragon AI makes it even better.
2022-06-13 18:23:27+00:00,Pierre018,@EvanKirstel You need to copy the brain into AI for a better path then just machine or deep learning.
2022-06-13 17:44:10+00:00,genericgranola,"How to Encode Medical Records for Deep Learning https://t.co/J6w9OP2IXa #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/VxzzNPWnyY"
2022-06-13 15:32:31+00:00,KIPMI_Media,"Apa sih bedanya Artificial Intelligence (AI), Machine Learning dan Deep Learning?

Yok kita kuliah lagi, sama pak Khairul Anam, PhD. (anggota KIPMI) untuk menjawab pertanyaan di atas.

9 menit aja! Simak di:
https://t.co/NqNLvNP43b https://t.co/ZvWsv9h2bf"
2022-06-13 12:44:39+00:00,genericgranola,"Gentle Introduction to Neural Networks — Understanding Deep Learning https://t.co/bek0wu1UiJ #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/A1roy9k9X2"
2022-06-13 12:39:32+00:00,genericgranola,"Explainable Data Generators: A solution to overfitting in deep learning https://t.co/ESCIKEsxas #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/40AtEqnet2"
2022-06-13 09:39:43+00:00,genericgranola,"Deep Learning Market– Opportunities in Key Application Sectors by 2030 https://t.co/Mj1KSUlZ6d #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/COy1wW4oq1"
2022-06-13 08:54:41+00:00,genericgranola,"Tesla and Deep Learning https://t.co/r6sViSX57q #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/bo8gJX1yuv"
2022-06-13 08:10:43+00:00,AryBandung,"Lompatan peradaban berikutnya. Ketika komputasi kuantum sempurna, maka quantum AI, quantum machine learning, quantum deep learning, quantum neural network, quantum information.. banyak hal berubah.

Dan kita hrs ikut terlibat. https://t.co/sRx0nUMHk5"
2022-06-13 07:54:18+00:00,genericgranola,"How Deep Learning solved the Mystery of Biology https://t.co/xcgHZ0GBlD #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/NceWGR2JV4"
2022-06-13 07:39:53+00:00,genericgranola,"รีวิว Deep Learning Specialization ของ https://t.co/rYi7ufj4iT https://t.co/FcgefUdHpf #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/aMSy0hQbMR"
2022-06-13 06:01:20+00:00,ARTIBA_Insights,"Machine Learning and Deep Learning are future-proof careers. Get an overview of these career avenues here: https://t.co/wir2TjmFxX

#machinelearning #deeplearning #ai #artificialintelligence #AITechnology #Artiba"
2022-06-13 01:51:58+00:00,Kin74983588,"New World : Artificial Intelligence - Artificial Intelligence, Deep Learning, Machine Learning, AI Lectures, AI Conferences, AI TED Talks, AI Movies, AI Books https://t.co/wFA1lrcZzV"
2022-06-12 23:27:36+00:00,mageed,"Wondering how machines learn, or have interest in #artificial_intelligence in general? I wrote this #Medium post in accessible language explaining, using #machine_translation as an example. I hope some would find it useful. https://t.co/1jstpWrQPD  #deep_learning #AI #NLProc"
2022-06-12 23:26:03+00:00,mageed,"Wondering how machines learn, or have interest in #artificial_intelligence in general? I wrote this #Medium post in accessible language explaining, using #machine_translation as an example. I hope some would find it useful. #deep_learning #AI #NLProc https://t.co/I0WAmnVEjW"
2022-06-12 23:04:22+00:00,genericgranola,"Decoding the Language of Biology: Using Deep Learning to Understand the World Within Us. https://t.co/4H3680lelE #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/FAvepQHXTW"
2022-06-12 17:54:57+00:00,genericgranola,"Handwriting Recognition Using Deep Learning https://t.co/of8ILLhUFz #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/13Ic72Nso6"
2022-06-12 17:39:32+00:00,Tech_on_Edge,"Most tweeted articles today in Deep Learning:
- Global Deep Learning in Machine Vision Market 2022 by Top Players List  High Timber Times, #AI #bigdata #ArtificialIntelligence #neuralnetworks
Read all new articles on: https://t.co/9Zxi644ZyJ ,
    https://t.co/UnEhFs4McJ"
2022-06-12 16:41:44+00:00,StartupHubAI,"Seed-X’s breakthrough image-based technology integrates AI, machine vision and deep-learning algorithms to optimize seed and grain sorting at the single seed and grain level.
https://t.co/ktJczRdabE"
2022-06-12 16:34:26+00:00,genericgranola,"The concepts of Deep Learning https://t.co/bQ3M8Drm1y #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/YtMeNfQ8gg"
2022-06-12 16:29:28+00:00,genericgranola,"A Glimpse of Machine learning and Deep learning! https://t.co/QoPwHp8QO3 #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/XC9XabvIOe"
2022-06-12 15:35:42+00:00,MustafaRaziq1,"3/3 : Got to know the importance of data in all the AI domains (AI, Data-science, Machine-learning, Deep-learning )"
2022-06-12 14:59:45+00:00,SanjayS84390716,"https://t.co/7kI9nKWfnA

Survival Prediction of Glioblastoma Patients (Brain Tumor) using Machine(Deep Learning) #CancerResearch #braincancer #Glioblastoma #nature @SciReports @OuthouseThought @WHO @AI_Medic"
2022-06-12 11:42:12+00:00,Tech_on_Edge,"Most tweeted articles today in Machine Learning:
- Research Papers based on Bottlenecks in Deep Learning Models, #AI #ArtificialIntelligence #MachineLearning
Read all new articles on: https://t.co/DhXa0z7jK4 ,
    https://t.co/u61iGeze4x"
2022-06-12 11:19:35+00:00,AryBandung,"@6666Irfan Terima kasih.. 🙏
Kemarin sudah tentang komputer kuantum yg terpisah.
Sebelumnya AI dan quantum AI (tp blm selesai). Ini machine learning nanti lanjut ke deep learning. Lalu ke quantum ML dan quantum DL."
2022-06-12 11:00:14+00:00,future_of_AI,"How Artificial Intelligence, Machine Learning, and Deep Learning are helping Defense Industry to Create Future War Machine https://t.co/zaKox2HT6z #ai #machinelearning #artificialintelligence #Fintech #DeepLearning via @WorldTrendsInfo"
2022-06-12 07:20:05+00:00,Distinction777,"The push for machine learning and deep learning is growing at an exponential rate but, the world is searching for creative and deep thinkers, the human learners who can create and deliver disruptive value on local, national and global platforms. ~ Onyi Anyado

#DesignThinking #AI"
2022-06-12 06:57:53+00:00,Tech_on_Edge,"Most tweeted articles today in Deep Learning:
- What is an Adversarial Attack in Machine Learning and Deep Learning, #AI #bigdata #ArtificialIntelligence #neuralnetworks
Read all new articles on: https://t.co/9Zxi644ZyJ ,
    https://t.co/adzNZoH8nT"
2022-06-12 00:37:05+00:00,MotorcycleTwitt,"How Artificial Intelligence, Machine Learning, and Deep Learning are helping Defense Industry to… cc @MikeQuindazzi #AI #DeepLearning #BigData #Fintech https://t.co/ejrzvt8b4M https://t.co/d6DsXhUsbU"
2022-06-12 00:04:41+00:00,genericgranola,"What is an Adversarial Attack in Machine Learning and Deep Learning https://t.co/rfh6uHzYlk #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/fNZsCXA2qA"
2022-06-12 00:04:39+00:00,genericgranola,"Practical Tools for Privacy Preserving Deep Learning (PPDL) https://t.co/yihZQ1UYDi #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/cxSrY6Ux0w"
2022-06-12 00:04:36+00:00,genericgranola,"Research Papers based on Bottlenecks in Deep Learning Models https://t.co/kMBLE4ieQE #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/lOyjZRQDgu"
2022-06-11 23:58:08+00:00,VR_ARTech,"Machine Learning, Deep Learning, and Artificial Intelligence: a simple explanation. Read more &gt; https://t.co/vqV5UgwWNC

@deltalogix rt @lindagrass0 #AI #MachineLearning #DeepLearning https://t.co/jlU4Id7Xi7"
2022-06-11 22:46:49+00:00,BDehbozorgi83,"My favorite on machine learning, AI, deep learning, and last but not least, the theoretical (esp. mathematical) backgrounds behind these topics. 

https://t.co/fKH370MYW9"
2022-06-11 20:36:05+00:00,FutureIsGreen1,"I don't know how social media preference of algorithms works but #AI ,Machine learning  or deep learning should be used to make sure  formidable issues affecting earth or general society to be of trending or timeline #ClimateActionNow"
2022-06-11 20:22:37+00:00,c_4et,"الجودة دي!
الكورسات اللي هتدرسها من خلاله هي كالتالي:
- Introduction to AI
- Deep Learning
- Machine Learning
- Natural Language Processing
- Time-Series Analysis
- Deep Learning for Robotics
- Anomaly Detection

الجزء التاني هو جزء ال Hardware : واللي هيبدأ يكلمك عن إزاي تستخدم"
2022-06-11 19:34:37+00:00,MLRepositories,"AI-Chip: A list of ICs and IPs for AI, Machine Learning and Deep Learning.
Lang: PHP
⭐️ 1350
#MachineLearning
https://t.co/fLIU9awxD6"
2022-06-11 15:34:26+00:00,vidhu_anand,"Congratulations to my mentor Dr. Pellikka @pattypellikka for the grant and advancing the field of AI, machine learning and deep learning in echo @ASE360 #ASE2022 @garvankane @MayoClinicCV https://t.co/PLHW0IGYM2"
2022-06-11 15:31:00+00:00,GlobalITPros1,"Our AI experts can help build and train data models for efficiency and accuracy using several machine training algorithms so that the model can learn and predict to perform. We use our knowledge of statistics and deep learning to get you there.
#artificialintelligence #ai https://t.co/0Ac0ZLlG3F"
2022-06-11 08:54:50+00:00,genericgranola,"What is an Adversarial Attack in Machine Learning and Deep Learning https://t.co/rfh6uHzqvM #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/H3zCFmXtvr"
2022-06-11 08:49:11+00:00,genericgranola,"Practical Tools for Privacy Preserving Deep Learning (PPDL) https://t.co/yihZQ2cA1S #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/BWRm0Cx3Gc"
2022-06-11 08:09:52+00:00,genericgranola,"Research Papers based on Bottlenecks in Deep Learning Models https://t.co/kMBLE4hH16 #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/4310QLZqdR"
2022-06-11 06:00:27+00:00,supplychain123,Whoever becomes the leader in artificial intelligence will become the ruler of the world. Vladimir Putin https://t.co/LZ5D7hcWuQ #AI #singularity #robotics #robot #humanoid #machine #deep #learning #python #russia #USSR #WWIII
2022-06-11 04:25:34+00:00,syedRes78322802,"Deep Learning vs. Machine Learning: What Business Leaders Need to Know
#MachineLearning #business #leaders #development #marketing #Sales #ArtificialIntelligence #technology @TycoonStoryCo @tycoonstory2020 @Forbes @getsmarter @Deep__AI @ParadeMagazine https://t.co/BYG6sm8EfV https://t.co/6r8q392VnM"
2022-06-10 19:36:13+00:00,CommercialeSeme,"All about deep learning developer jobs and Salary !!! 

#chip #AIchip #SelfDrivingCars #technology #Smartphones #Blockchain #AI #DataSecurity #ML #dataScientist #5G #DataAnalytics #NLP #Python #IoT #RStats #Reactjs #IIoT #Machine…https://t.co/AxhukE8uNy https://t.co/HzASog2Jq9"
2022-06-10 16:30:00+00:00,MSFTImagine,"Are you ready to explore #AI? 🧐

Join @carlottacaste and @shwars for a guided journey into AI, machine learning and deep learning, and come away with a better understanding of what this exciting area is all about: https://t.co/VN3PxZBb8K."
2022-06-10 15:45:52+00:00,EnFuseSolution,"#Infographic: Artificial Intelligence v/s Machine Learning v/s Deep Learning! via @ingliguori

#MachineLearning #DeepLearning #DataAnnotation #ML #ArtificialIntelligence #AI #DataScience #DataScientists #Analytics

cc: @mvollmer1 @antgrasso @avrohomg @HaroldSinnott https://t.co/nnhbKyaU3o"
2022-06-10 15:36:03+00:00,TeamIQX,"""Deep Learning enabled computers to overtake machines in many tasks, from object recognition, face detection, to many predictive tasks that are highly relevant in the financial sector,"" says Joanna England of @FinTechMagazine 

https://t.co/tedsgZ0azS

#Fintech #AI @globaliqx https://t.co/2LNax6fFPL"
2022-06-09 20:54:17+00:00,genericgranola,"Speech to Text Processing using Deep Learning Models https://t.co/mWGDpaj15O #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/hgEhj6qQLQ"
2022-06-09 16:57:48+00:00,AINewsFeed,Boundary detection using Machine/Deep learning - - MathWorks https://t.co/YWx8lWGAQ0 #ai #ml #dl
2022-06-09 16:52:12+00:00,YuvalLeshem,"High Tech Jobs in Israel 24/7 
#Data Scientist -machine / deep learning
#BigData infrastructure -Java
AI application engineer -Java /R/matlab
#FrontEnd Lead-react / angular
#QA automation Lead
Payment Approval Representative
https://t.co/xgiPepz3Ys"
2022-06-09 14:49:00+00:00,PQEGroup,"Artificial intelligence aims to revolutionize the #cybersecurity world.

Don't miss out on how AI, machine learning and deep learning can strengthen you cybersecurity systems.

https://t.co/HHSKVJYy7A"
2022-06-09 12:47:00+00:00,future_of_AI,Flaws in Machine Learning &amp; How Deep Learning Is Helping https://t.co/8TgOouWi9c #ai #machinelearning #artificialintelligence #DeepLearning via @ipfconline1
2022-06-09 10:50:14+00:00,HCAIMaster,"One week left for AI Ethicon, A Hackathon in Ethical AI!

✅ Hear from the AI experts and  HCAIM
✅ Privacy-Preserving Machine Learning 
✅ Fundamentals of Deep Learning 
✅ Certifications from HCAIM and much more...

Find out more and register at:
https://t.co/0TXKC2oOYs"
2022-06-09 09:01:09+00:00,skillup_africa,"The Global Growth of AI and Machine Learning Technology

Source: Comptia

AI and machine learning are set for significant growth and expansion. In fact, machine learning, deep learning, and NLP (natural language processing) are the three skills that are in high demand. https://t.co/kPV1WiCwaX"
2022-06-09 03:04:10+00:00,MLRepositories,"AI-Chip: A list of ICs and IPs for AI, Machine Learning and Deep Learning.
Lang: PHP
⭐️ 1349
#MachineLearning
https://t.co/fLIU9awxD6"
2022-06-08 17:57:10+00:00,YuvalLeshem,"High Tech Jobs in Israel 24/7 
#Data Scientist -machine / deep learning
#BigData infrastructure -Java
AI application engineer -Java /R/matlab
#FrontEnd Lead-react / angular
#QA automation Lead
Payment Approval Representative
https://t.co/xgiPepz3Ys"
2022-06-08 17:43:58+00:00,BenefitsMind,"""Machine learning is not usually associated with hardware, even though a number of phones and cameras for example, have embedded deep learning models within them. #ai #technology #BigData #ML"" https://t.co/39ylyMdxeO"
2022-06-08 17:15:34+00:00,Tech_on_Edge,"Most tweeted articles today in Machine Learning:
- The Difference between Machine Learning and Deep Learning, #AI #ArtificialIntelligence #MachineLearning
Read all new articles on: https://t.co/9Zxi644ZyJ ,
    https://t.co/COfs7oqxBE"
2022-06-08 13:35:00+00:00,Innov_Inf,"The Difference between Machine Learning and Deep Learning | by Suhas Maddali | Jun, 2022 | Towards Data Science https://t.co/uUfuXx3IQa 
#news #Trending #AI #business #programming #Technology #DataScience #research"
2022-06-08 12:44:22+00:00,JMUNews,"JMU professor John Guo says digital kids would be ""intelligent, interactive, and even intellectual, thanks to AI technologies such as deep learning, machine learning, neural networks, and natural language processing."" https://t.co/NjxeC2Y0j8"
2022-06-07 21:00:14+00:00,Sandipan6932338,"Neural Networks, Deep Learning, Machine Learning and AI https://t.co/BzYGoboEfT"
2022-06-07 20:54:53+00:00,genericgranola,"Tensorflow vs PyTorch: Which Will Be The Top Deep Learning Framework In 2022 ? https://t.co/9yMOaYEbRy #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/AbmPMNdRIJ"
2022-06-07 20:44:36+00:00,genericgranola,"Using Graph-Based Deep Learning to Structure Documents https://t.co/0adV3qFCJt #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/VRn3vJ7veG"
2022-06-07 20:44:32+00:00,genericgranola,"How Many GPUs Should Your Deep Learning Workstation Have? https://t.co/kOqjMh7KEQ #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/vvbsl6raGe"
2022-06-07 17:29:27+00:00,genericgranola,"Maximum Likelihood in Deep learning — Part 2 of Deep Learning Refresher https://t.co/7G0DTosA3G #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/73hU0esI7h"
2022-06-07 16:41:11+00:00,temptempholder,"the only purpose of deep learning, AI, machine learning is just to calculate for u which girl can be your fuck buddy tbh 

human brain is just not good at this

alot of rah rah drama latest fad is just head fad

humans are very simple minded at the end of the day"
2022-06-07 15:45:25+00:00,mikethebbop,"Further on Angus Loten story fr today's @WSJ : It might have a lot more 2 do w/ business failing to capture meaningful ROI fr ""AI"" (careful: let's not make ""AI"" synonymous w/ machine learning &amp;/or ""deep learning""). Closing the gap may require big pivot on ""AI"" architecture"
2022-06-07 12:54:11+00:00,AjGfSman39rbR3l,"Cheat Sheets for AI, Neural Networks, Machine Learning, Deep Learning &amp; Big Data by @StefanSpeaksOrg https://t.co/poSro5ToWy"
2022-06-07 12:54:09+00:00,AjGfSman39rbR3l,"Cheat Sheets for AI, Neural Networks, Machine Learning, Deep Learning &amp; Big Data by @StefanSpeaksOrg https://t.co/poSro6arYy"
2022-06-07 09:24:56+00:00,Aviskaran1,"What are the core fields in Artificial Intelligence? 
O Machine learning 
O Deep learning 
O Automation 
Read more about how AI is adopted globally in our blog https://t.co/U2LFnoweHR
#ArtificialIntelligence #machinelearning #deeplearning #aviskaran https://t.co/8cOw6Wg8S4"
2022-06-07 08:29:22+00:00,genericgranola,"Deep Learning Using Neural Networks For Natural Language Processing https://t.co/yFSqsp1BAu #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/UoA5ajDahd"
2022-06-06 22:57:47+00:00,AINewsFeed,The Difference between Machine Learning and Deep Learning - Towards Data Science https://t.co/suMnGSF0Gp #ai #ml #dl
2022-06-06 22:55:06+00:00,BoazSafferYVR,"Does anyone have suggestions for attention #Python workshops on AI / Machine Learning / Deep Learning? 

#AcademicTwitter #pythonlearning #pythonprogramming"
2022-06-06 20:30:00+00:00,dmitry_star,"AI in Industry4.0 will go deeper into the production process. It works on neural networks, machine learning, and deep learning. Then it will go to machinery inspection, cybersecurity, quality control, and predictive analytics. Looking forward to more AI applications in the future"
2022-06-06 18:51:10+00:00,_useRconf,"#useR2022 diversity scholarship winner Mohieddin Jafari (@MohieddinJafari) is a senior researcher @HelsinkiUni who has created packages such as {CINNA} and {IMMAN}. He will present a poster on {NIMAA} in the Data Mining, Machine Learning, Deep Learning, and AI session. (1/2)"
